gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,age,diverging_job_title,post_code_cut,diverging_post_code
Male,64,1966-07-29,Media Manager,n/a,Mass Customer,Yes,8,683 Florence Way,3156,VIC,5,50,Media Manager,"(3150,3250]",Other
Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,Yes,17,06936 Bobwhite Circle,2257,NSW,7,34,Other,"(2250,2350]",Other
Male,31,1971-12-29,Developer,Argiculture,Mass Customer,Yes,9,283 Acker Drive,2763,NSW,9,45,Other,"(2750,2850]",Other
Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,No,11,9 Mosinee Parkway,2072,NSW,10,75,Other,"(2050,2150]",Other
Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,Yes,17,45 Becker Place,4504,QLD,6,50,Other,"(4450,4550]",Other
Female,22,1999-11-21,Accountant,IT,High Net Worth,Yes,7,27 Karstens Crossing,4214,QLD,7,17,Other,"(4150,4250]",Other
Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,No,12,9630 Cottonwood Avenue,2168,NSW,8,34,Human Resources Manager,"(2150,2250]",Other
Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,Yes,5,989 Graedel Terrace,4208,QLD,11,20,Other,"(4150,4250]",Other
Female,54,1984-10-07,Account Representative,Manufacturing,Affluent Customer,Yes,16,76 Bartelt Center,4078,QLD,7,32,Other,"(4050,4150]",Other
Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,Yes,3,29778 Mendota Drive,4036,QLD,5,17,Other,"(3950,4050]",Other
Female,82,1988-09-18,Associate Professor,n/a,High Net Worth,Yes,6,69 Algoma Center,4173,QLD,7,28,Other,"(4150,4250]",Other
Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,Yes,13,8288 Lyons Way,2484,NSW,7,20,Other,"(2450,2550]",Other
Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,No,9,4185 Florence Trail,2121,NSW,10,22,Other,"(2050,2150]",Other
Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,No,15,9608 Heffernan Drive,4068,QLD,9,17,Other,"(4050,4150]",Other
Male,5,1968-02-16,Mechanical Systems Engineer,n/a,High Net Worth,No,15,9 Union Center,2147,NSW,9,49,Other,"(2050,2150]",Other
Male,98,1974-09-17,Budget/Accounting Analyst,Manufacturing,High Net Worth,Yes,10,12351 Spenser Pass,2034,NSW,12,42,Other,"[1950,2050]",Other
Male,0,1961-04-15,Research Nurse,Health,Mass Customer,No,17,4 Valley Edge Plaza,2759,NSW,9,56,Other,"(2750,2850]",Other
Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,Yes,13,1601 Rutledge Lane,3030,VIC,7,60,Other,"(2950,3050]","(2950,3050]"
Female,15,1972-01-14,Computer Systems Analyst,Manufacturing,Mass Customer,Yes,13,0 Mockingbird Plaza,2212,NSW,10,45,Other,"(2150,2250]",Other
Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,No,6,1665 Kenwood Center,2518,NSW,6,43,Analyst Programmer,"(2450,2550]",Other
Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,No,15,5 4th Center,2097,NSW,12,22,Other,"(2050,2150]",Other
Female,34,1965-09-08,Editor,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,8,51,Other,"(2750,2850]",Other
Male,58,1975-09-12,Biostatistician,Manufacturing,High Net Worth,No,8,564 Forest Dale Avenue,3161,VIC,12,41,Other,"(3150,3250]",Other
Male,48,1961-03-22,Database Administrator,Manufacturing,High Net Worth,Yes,16,83 Old Gate Point,2576,NSW,10,56,Other,"(2550,2650]",Other
Female,9,1949-04-29,Engineer,n/a,High Net Worth,No,13,387 Dixon Alley,2024,NSW,10,68,Other,"[1950,2050]",Other
Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,No,5,411 Twin Pines Way,2026,NSW,9,18,Other,"[1950,2050]",Other
Male,5,1942-11-01,GIS Technical Architect,n/a,High Net Worth,No,13,12 Arapahoe Park,2035,NSW,12,74,Other,"[1950,2050]",Other
Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,Yes,14,4915 Debra Center,2479,NSW,9,67,Physical Therapy Assistant,"(2450,2550]",Other
Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,No,16,76 Sunnyside Avenue,4670,QLD,2,45,Other,"(4650,4750]",Other
Male,93,1992-04-19,Environmental Specialist,n/a,Affluent Customer,No,15,1 Talisman Avenue,2125,NSW,10,25,Other,"(2050,2150]",Other
Female,34,1978-02-19,Director of Sales,Health,Mass Customer,No,19,91164 Washington Terrace,2263,NSW,7,39,Other,"(2250,2350]",Other
Male,94,1952-09-21,Teacher,n/a,Affluent Customer,Yes,14,6776 Anderson Center,4037,QLD,8,64,Other,"(3950,4050]",Other
Male,18,1943-02-08,Human Resources Assistant,Property,Mass Customer,Yes,15,37439 High Crossing Circle,3350,VIC,4,74,Other,"(3250,3350]",Other
Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,No,11,5 Nevada Point,4017,QLD,6,22,Other,"(3950,4050]",Other
Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,44,Other,"(2150,2250]",Other
Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,Yes,14,0 Meadow Ridge Street,3173,VIC,8,17,Other,"(3150,3250]",Other
Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,No,3,5 Quincy Street,4118,QLD,4,26,Other,"(4050,4150]",Other
Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,No,12,13025 Johnson Plaza,4670,QLD,2,23,Other,"(4650,4750]",Other
Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,No,9,966 Sunnyside Center,2390,NSW,2,77,Marketing Manager,"(2350,2450]",Other
Female,64,1980-10-20,Staff Accountant,Financial Services,Affluent Customer,No,8,802 Mallory Park,3919,VIC,2,36,Other,"(3850,3950]",Other
Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,Yes,15,93 Judy Drive,3047,VIC,6,55,Other,"(2950,3050]","(2950,3050]"
Male,50,1946-10-23,Accountant,IT,Mass Customer,Yes,16,94 Manitowish Court,4116,QLD,3,70,Other,"(4050,4150]",Other
Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,No,18,5013 Erie Crossing,2230,NSW,9,53,Recruiting Manager,"(2150,2250]",Other
Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,No,19,540 Sachs Road,3153,VIC,8,45,Other,"(3150,3250]",Other
Female,95,1961-10-22,Human Resources Assistant,n/a,Mass Customer,No,5,422 Forster Circle,2340,NSW,1,55,Other,"(2250,2350]",Other
Female,95,1968-11-15,Food Chemist,Health,Mass Customer,Yes,7,6 Anderson Junction,3802,VIC,7,48,Other,"(3750,3850]",Other
Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,Yes,11,276 Westend Road,4207,QLD,5,77,Other,"(4150,4250]",Other
Male,72,1961-11-05,Structural Engineer,n/a,High Net Worth,No,14,69 Garrison Point,2223,NSW,11,55,Other,"(2150,2250]",Other
Female,0,1995-08-13,VP Sales,IT,Mass Customer,No,5,65 Milwaukee Hill,3280,VIC,2,21,Other,"(3250,3350]",Other
Female,53,1977-11-08,Geologist,Manufacturing,Affluent Customer,No,18,4252 Dovetail Pass,4129,QLD,6,39,Other,"(4050,4150]",Other
Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,Yes,17,7 Cascade Park,2089,NSW,9,70,Information Systems Manager,"(2050,2150]",Other
Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,Yes,6,29307 Russell Avenue,3094,VIC,9,39,Other,"(3050,3150]",Other
Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,Yes,4,3 Mcguire Crossing,4510,QLD,7,29,Other,"(4450,4550]",Other
Female,2,1952-12-14,Automation Specialist,Property,Mass Customer,Yes,7,6 Golf View Alley,2287,NSW,4,64,Other,"(2250,2350]",Other
Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,No,4,83716 Russell Lane,2145,NSW,8,35,Other,"(2050,2150]",Other
Male,57,1997-05-28,Desktop Support Technician,n/a,Mass Customer,No,9,265 Stephen Trail,2209,NSW,10,20,Other,"(2150,2250]",Other
Female,86,1969-07-20,Design Engineer,n/a,High Net Worth,No,6,2 Charing Cross Trail,2759,NSW,8,47,Design Engineer,"(2750,2850]",Other
Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,4,42,Other,"(4450,4550]",Other
Male,44,1941-02-22,Media Manager,n/a,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,5,76,Media Manager,"(4250,4350]",Other
Female,66,1953-02-27,Social Worker,Health,Affluent Customer,No,21,7026 Katie Lane,3818,VIC,1,64,Other,"(3750,3850]",Other
Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,Yes,9,8 Eggendart Pass,2835,NSW,1,42,Civil Engineer,"(2750,2850]",Other
Female,42,1940-02-02,Editor,Retail,Mass Customer,No,12,1 Bluejay Place,4405,QLD,1,77,Other,"(4350,4450]","(4350,4450]"
Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,Yes,5,28970 Monument Lane,2560,NSW,7,26,Design Engineer,"(2550,2650]",Other
Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,Yes,5,235 Mendota Court,2650,NSW,2,54,Other,"(2550,2650]",Other
Male,38,1965-07-03,Payment Adjustment Coordinator,n/a,Mass Customer,Yes,13,49309 Redwing Lane,3240,VIC,7,51,Other,"(3150,3250]",Other
Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,Yes,14,492 Waywood Lane,2750,NSW,8,39,Graphic Designer,"(2650,2750]",Other
Male,89,1970-11-08,Staff Accountant,n/a,Mass Customer,No,19,12683 Mifflin Point,2114,NSW,7,46,Other,"(2050,2150]",Other
Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,No,4,6160 Weeping Birch Hill,4509,QLD,5,27,Graphic Designer,"(4450,4550]",Other
Male,28,1967-09-27,Social Worker,Health,Mass Customer,Yes,16,7 Oakridge Lane,2284,NSW,4,49,Other,"(2250,2350]",Other
Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,Yes,12,0 Dexter Parkway,2380,NSW,3,37,Other,"(2350,2450]",Other
Female,60,1980-02-11,Programmer Analyst,Property,Mass Customer,Yes,3,75813 Lawn Lane,3081,VIC,8,37,Other,"(3050,3150]",Other
Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,Yes,16,74613 Northport Park,3765,VIC,9,50,Other,"(3750,3850]",Other
Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,Yes,15,68 Karstens Pass,2176,NSW,9,16,Other,"(2150,2250]",Other
Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,Yes,20,87254 Hermina Pass,4217,QLD,8,68,Other,"(4150,4250]",Other
Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,Yes,17,801 Atwood Alley,2138,NSW,9,41,Other,"(2050,2150]",Other
Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,No,6,2 Morrow Alley,4207,QLD,1,35,Other,"(4150,4250]",Other
Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,No,15,92934 Mallory Trail,2164,NSW,9,66,Other,"(2150,2250]",Other
Female,82,1965-07-15,Developer,Manufacturing,Mass Customer,No,17,90820 Thackeray Street,2218,NSW,8,51,Other,"(2150,2250]",Other
Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,No,16,48 Ludington Plaza,2153,NSW,10,47,Other,"(2150,2250]",Other
Female,58,1969-05-21,Teacher,Health,High Net Worth,No,19,49185 Derek Circle,3977,VIC,6,48,Other,"(3950,4050]",Other
Female,60,1967-12-18,Staff Accountant,Health,Affluent Customer,Yes,4,115 Westridge Road,4570,QLD,3,49,Other,"(4550,4650]",Other
Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,Yes,14,7 Myrtle Lane,2324,NSW,8,55,Other,"(2250,2350]",Other
Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,Yes,18,7795 Memorial Drive,2016,NSW,11,48,Other,"[1950,2050]",Other
Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,No,11,24695 Boyd Road,3201,VIC,5,55,Other,"(3150,3250]",Other
Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,No,9,95306 John Wall Avenue,4350,QLD,5,60,Other,"(4250,4350]",Other
Female,74,1963-04-24,Human Resources Assistant,Property,Mass Customer,Yes,19,6704 Pine View Lane,2170,NSW,9,54,Other,"(2150,2250]",Other
Female,89,1976-10-24,Health Coach,Financial Services,Mass Customer,No,21,98158 Alpine Point,4212,QLD,9,40,Other,"(4150,4250]",Other
Female,16,1957-05-25,Programmer Analyst,Health,Mass Customer,No,7,33652 Lyons Alley,2763,NSW,9,60,Other,"(2750,2850]",Other
Female,4,1978-01-15,Senior Quality Engineer,n/a,Mass Customer,Yes,6,8 Debs Road,3934,VIC,9,39,Senior Quality Engineer,"(3850,3950]",Other
Male,27,1951-06-11,Environmental Tech,n/a,High Net Worth,No,10,101 Starling Pass,2564,NSW,9,65,Other,"(2550,2650]",Other
Male,37,1986-08-07,Geologist,Property,Affluent Customer,No,4,35151 Bunker Hill Crossing,2068,NSW,12,30,Other,"(2050,2150]",Other
Female,23,1995-08-04,Health Coach,Health,Mass Customer,Yes,10,2093 Amoth Pass,3109,VIC,11,21,Other,"(3050,3150]",Other
Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,Yes,9,57343 Eagan Avenue,2326,NSW,2,47,Other,"(2250,2350]",Other
Male,96,1951-07-10,Account Representative,n/a,High Net Worth,Yes,19,83 Armistice Terrace,4011,QLD,3,65,Other,"(3950,4050]",Other
Female,3,1979-05-22,Director of Sales,n/a,Mass Customer,Yes,3,5388 Burrows Alley,2073,NSW,11,38,Other,"(2050,2150]",Other
Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,No,4,5612 Toban Point,2227,NSW,10,41,Other,"(2150,2250]",Other
Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,No,12,65 Ridge Oak Court,2471,NSW,3,44,Other,"(2450,2550]",Other
Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,Yes,8,74 Russell Terrace,4350,QLD,4,28,Other,"(4250,4350]",Other
Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,No,15,255 Loeprich Lane,3752,VIC,9,64,Other,"(3750,3850]",Other
Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,No,13,67 Northport Avenue,3805,VIC,7,31,Other,"(3750,3850]",Other
Female,42,1955-06-05,Account Representative,n/a,Affluent Customer,No,14,823 Wayridge Trail,2205,NSW,9,61,Other,"(2150,2250]",Other
Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,Yes,10,5 Golf Terrace,2126,NSW,11,61,Other,"(2050,2150]",Other
Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,Yes,4,40809 Truax Way,2209,NSW,6,27,Other,"(2150,2250]",Other
Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,Yes,16,1398 Burning Wood Way,3850,VIC,1,22,Assistant Manager,"(3750,3850]",Other
Female,72,1955-09-06,Research Assistant,Property,Mass Customer,No,5,3920 Swallow Junction,3038,VIC,8,61,Other,"(2950,3050]","(2950,3050]"
Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,No,7,4 Warner Park,2146,NSW,9,24,Other,"(2050,2150]",Other
Female,79,1939-01-29,Research Associate,n/a,High Net Worth,Yes,9,534 Lien Lane,3122,VIC,7,78,Research Associate,"(3050,3150]",Other
Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,No,16,48 Shoshone Park,2066,NSW,9,65,Other,"(2050,2150]",Other
Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,Yes,13,170 Briar Crest Place,2120,NSW,10,66,Other,"(2050,2150]",Other
Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,No,5,0193 Northland Street,4179,QLD,9,42,Assistant Manager,"(4150,4250]",Other
Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,No,9,5219 Pearson Drive,2148,NSW,9,52,Assistant Manager,"(2050,2150]",Other
Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,No,18,6156 Summit Center,4352,QLD,7,42,Other,"(4350,4450]","(4350,4450]"
Male,36,1946-03-24,Community Outreach Specialist,n/a,High Net Worth,Yes,21,803 Badeau Point,2177,NSW,8,71,Other,"(2150,2250]",Other
Male,34,1974-03-25,Computer Systems Analyst,Manufacturing,Mass Customer,Yes,13,735 Westridge Road,2454,NSW,7,43,Other,"(2450,2550]",Other
Female,68,1985-09-02,Account Representative,Property,Mass Customer,No,5,1190 Hanson Street,3806,VIC,9,31,Other,"(3750,3850]",Other
Male,65,1992-07-27,Social Worker,Health,High Net Worth,Yes,3,370 Division Junction,3032,VIC,10,24,Other,"(2950,3050]","(2950,3050]"
Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,No,17,90 Northport Hill,2228,NSW,10,45,Other,"(2150,2250]",Other
Female,67,1973-05-09,Payment Adjustment Coordinator,n/a,Mass Customer,Yes,17,77785 Veith Lane,2766,NSW,8,44,Other,"(2750,2850]",Other
Female,7,1986-11-09,Safety Technician,Property,High Net Worth,No,9,232 Knutson Park,4060,QLD,10,30,Other,"(4050,4150]",Other
Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,No,10,25805 Eagan Place,2766,NSW,9,21,Other,"(2750,2850]",Other
Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,No,8,743 Debra Court,2117,NSW,11,25,Physical Therapy Assistant,"(2050,2150]",Other
Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,Yes,7,6966 Delladonna Street,2250,NSW,8,78,Other,"(2150,2250]",Other
Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,No,10,98221 Pennsylvania Place,2170,NSW,8,47,Human Resources Manager,"(2150,2250]",Other
Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,No,7,307 Knutson Center,2226,NSW,10,47,Other,"(2150,2250]",Other
Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,Yes,11,593 Alpine Drive,3195,VIC,12,73,Other,"(3150,3250]",Other
Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,No,16,45788 Stang Plaza,3687,VIC,3,45,Analog Circuit Design manager,"(3650,3750]","(3650,3750]"
Female,60,1981-02-16,Business Systems Development Analyst,n/a,High Net Worth,No,7,96515 Di Loreto Pass,4109,QLD,9,36,Other,"(4050,4150]",Other
Female,66,1990-01-09,Information Systems Manager,n/a,High Net Worth,No,2,8625 Dakota Plaza,2210,NSW,9,27,Information Systems Manager,"(2150,2250]",Other
Male,44,1993-11-18,Environmental Tech,n/a,Affluent Customer,No,3,02 Hoffman Road,2448,NSW,3,23,Other,"(2350,2450]",Other
Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,Yes,12,496 Logan Center,4207,QLD,4,51,Other,"(4150,4250]",Other
Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,Yes,21,67 Bluejay Plaza,2300,NSW,9,72,General Manager,"(2250,2350]",Other
Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,Yes,7,518 Paget Hill,4605,QLD,1,64,Analyst Programmer,"(4550,4650]",Other
Male,2,1998-11-26,Recruiting Manager,n/a,Mass Customer,No,2,87107 Shelley Crossing,2429,NSW,7,18,Recruiting Manager,"(2350,2450]",Other
Female,19,1948-10-12,Senior Sales Associate,n/a,Affluent Customer,Yes,12,3 Mallory Circle,2170,NSW,8,68,Other,"(2150,2250]",Other
Male,31,1976-08-27,Research Assistant,Telecommunications,Affluent Customer,No,9,1582 Bashford Drive,4018,QLD,7,40,Other,"(3950,4050]",Other
Female,12,1958-01-03,Social Worker,Health,High Net Worth,No,19,06 Old Gate Park,2144,NSW,9,59,Other,"(2050,2150]",Other
Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,No,4,49 Surrey Point,4710,QLD,4,50,Other,"(4650,4750]",Other
Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,10,49,Other,"[1950,2050]",Other
