customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,address,postcode,state,property_valuation,total_profit,n_transaction,profit_per_transaction,post_code_cut,diverging_post_code,diverging_job_title
32,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,4,22,2951 Petterle Place,2756,NSW,9,2823.12,7,403.30285714285714,"(2750,2850]",Other,Other
33,Male,44,1957-06-25,Product Engineer,n/a,Affluent Customer,Yes,11,59,63 Lukken Drive,2170,NSW,9,5150.45,6,858.4083333333333,"(2150,2250]",Other,Product Engineer
35,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,Yes,16,53,34 Russell Plaza,4127,QLD,6,3706.5099999999998,4,926.6274999999999,"(4050,4150]",Other,Information Systems Manager
36,Female,33,1977-11-09,VP Quality Control,n/a,Affluent Customer,No,22,39,78 Del Sol Hill,2535,NSW,8,204.35999999999999,2,102.17999999999999,"(2450,2550]",Other,Other
37,Female,46,1985-12-22,Social Worker,Health,High Net Worth,No,16,31,54 Sage Plaza,4726,QLD,1,6338.49,9,704.2766666666666,"(4650,4750]",Other,Other
38,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,61,90 Lawn Parkway,4805,QLD,4,2025.34,4,506.335,"(4750,4850]","(4750,4850]",Other
39,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,No,22,38,38726 Ilene Crossing,2212,NSW,10,6085.17,12,507.0975,"(2150,2250]",Other,Other
40,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,35,3496 Brown Drive,2207,NSW,8,4552.0999999999995,6,758.6833333333333,"(2150,2250]",Other,Other
41,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,No,16,41,7188 Cody Way,3350,VIC,9,4531.68,8,566.46,"(3250,3350]",Other,Food Chemist
42,Female,24,1977-03-28,Accountant,Manufacturing,Mass Customer,No,18,40,1 Claremont Park,3931,VIC,10,427.03999999999996,4,106.75999999999999,"(3850,3950]",Other,Other
43,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,No,5,34,60 Eagan Circle,4018,QLD,8,3619.95,9,402.21666666666664,"(3950,4050]",Other,Other
44,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,35,89314 Eagle Crest Center,4670,QLD,2,4768.28,7,681.1828571428571,"(4650,4750]",Other,Other
45,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,No,8,41,2028 Lakewood Place,2480,NSW,3,1048.1499999999999,3,349.38333333333327,"(2450,2550]",Other,Other
47,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,No,2,24,543 Killdeer Park,2322,NSW,4,4332.19,7,618.8842857142856,"(2250,2350]",Other,Other
48,Female,46,1975-08-15,Biostatistician,n/a,Mass Customer,Yes,8,41,22125 Ramsey Drive,3198,VIC,9,5561.08,8,695.135,"(3150,3250]",Other,Other
49,Male,63,1994-01-26,VP Quality Control,n/a,Affluent Customer,No,1,23,3107 Calypso Terrace,2210,NSW,9,4248.68,5,849.7360000000001,"(2150,2250]",Other,Other
50,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,Yes,16,36,957 Veith Junction,2047,NSW,10,5783.66,8,722.9575,"[1950,2050]",Other,Other
51,Male,68,1959-12-05,Computer Systems Analyst,Retail,Mass Customer,No,18,57,4853 Gulseth Avenue,4503,QLD,5,4855.4000000000005,8,606.9250000000001,"(4450,4550]",Other,Other
53,Female,22,1954-04-18,Software Test Engineer,Financial Services,Mass Customer,No,16,63,62 Steensland Road,4350,QLD,3,2950.07,5,590.014,"(4250,4350]",Other,Other
54,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,Yes,18,50,6 Homewood Avenue,2142,NSW,8,4098.21,7,585.4585714285714,"(2050,2150]",Other,Other
55,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,Yes,7,60,15 Almo Lane,2029,NSW,10,3220.86,8,402.6075,"[1950,2050]",Other,Other
56,Male,44,1996-07-04,VP Sales,Property,Mass Customer,Yes,4,20,690 Glacier Hill Circle,2127,NSW,10,1275.2399999999998,7,182.17714285714283,"(2050,2150]",Other,Other
57,Male,87,1988-06-13,Chief Design Engineer,n/a,Mass Customer,Yes,13,28,89787 Village Green Terrace,4280,QLD,6,5117.96,6,852.9933333333333,"(4250,4350]",Other,Other
58,Female,26,1967-07-04,Office Assistant,Financial Services,Affluent Customer,Yes,17,49,18 Elgar Park,2166,NSW,9,3501.37,8,437.67125,"(2150,2250]",Other,Other
59,Male,60,2000-02-08,Physical Therapy Assistant,n/a,High Net Worth,No,3,17,413 Mayer Street,2046,NSW,9,2628.37,3,876.1233333333333,"[1950,2050]",Other,Physical Therapy Assistant
61,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,No,13,57,44516 Katie Parkway,2765,NSW,7,4254.240000000001,6,709.0400000000001,"(2750,2850]",Other,Other
63,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,Yes,16,51,68150 Boyd Road,2745,NSW,9,2190.05,3,730.0166666666668,"(2650,2750]",Other,Senior Quality Engineer
64,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,No,4,39,11474 Westend Hill,3752,VIC,8,546.6799999999998,5,109.33599999999997,"(3750,3850]",Other,Other
65,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,41,308 Jana Crossing,2153,NSW,10,4441.61,6,740.2683333333333,"(2150,2250]",Other,Information Systems Manager
66,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,No,1,15,163 Straubel Trail,2217,NSW,10,3333.86,4,833.465,"(2150,2250]",Other,Other
67,Male,67,1960-06-14,Web Developer,Retail,Mass Customer,No,18,56,68294 Clarendon Crossing,2230,NSW,10,1203.2899999999997,5,240.65799999999996,"(2150,2250]",Other,Other
68,Female,37,1974-04-21,Information Systems Manager,n/a,Affluent Customer,No,9,43,486 Mariners Cove Plaza,3046,VIC,7,3842.5599999999995,3,1280.8533333333332,"(2950,3050]","(2950,3050]",Information Systems Manager
69,Female,16,1969-06-22,Web Developer,n/a,Mass Customer,No,6,47,0322 Dryden Court,3183,VIC,7,5294.75,6,882.4583333333334,"(3150,3250]",Other,Other
70,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,No,8,24,9 Bonner Road,2070,NSW,12,2736.9,5,547.38,"(2050,2150]",Other,Other
71,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,Yes,12,32,07041 Briar Crest Lane,2213,NSW,10,155.6500000000001,1,155.6500000000001,"(2150,2250]",Other,Research Associate
72,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,45,29466 Hanson Pass,4208,QLD,6,2559.7799999999997,4,639.9449999999999,"(4150,4250]",Other,Other
73,Female,16,1960-05-27,Teacher,n/a,Affluent Customer,Yes,5,57,0212 Forest Run Trail,2774,NSW,8,2316.5099999999998,6,386.085,"(2750,2850]",Other,Other
75,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,No,19,38,4763 Merchant Avenue,2756,NSW,8,4979.94,8,622.4925,"(2750,2850]",Other,Other
76,Female,20,1978-01-23,Statistician,Retail,High Net Worth,Yes,18,39,439 Ridgeway Court,4213,QLD,9,2868.16,8,358.52,"(4150,4250]",Other,Other
77,Male,79,1989-09-12,Automation Specialist,Financial Services,Mass Customer,No,7,27,2 Clyde Gallagher Lane,4170,QLD,5,1657.5800000000002,3,552.5266666666668,"(4150,4250]",Other,Other
78,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,32,97455 Loeprich Lane,2153,NSW,9,82.25999999999999,2,41.129999999999995,"(2150,2250]",Other,Business Systems Development Analyst
79,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,No,18,48,9527 Ridgeway Street,2073,NSW,10,2597.46,6,432.91,"(2050,2150]",Other,Other
80,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,No,13,39,7 Jackson Point,3561,VIC,1,5988.86,10,598.886,"(3550,3650]","(3550,3650]",Other
82,Female,93,1965-06-28,Software Test Engineer,Property,High Net Worth,No,19,51,2083 Spaight Court,3977,VIC,8,2924.37,5,584.874,"(3950,4050]",Other,Other
83,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,Yes,18,50,2796 Caliangt Circle,2204,NSW,12,1798.2,6,299.7,"(2150,2250]",Other,Other
84,Male,78,1958-02-07,Accountant,n/a,Mass Customer,Yes,14,59,96061 Ludington Place,2086,NSW,11,2295.2200000000003,7,327.8885714285715,"(2050,2150]",Other,Other
85,Male,1,1958-05-21,Analyst Programmer,n/a,Mass Customer,No,8,59,5037 Merchant Crossing,2226,NSW,11,563.3699999999999,6,93.89499999999998,"(2150,2250]",Other,Analyst Programmer
86,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,Yes,7,28,289 Haas Street,2075,NSW,11,2360.09,9,262.2322222222222,"(2050,2150]",Other,Other
87,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,No,8,43,4423 Bartelt Parkway,2038,NSW,12,3740.7599999999998,9,415.64,"[1950,2050]",Other,Editor
88,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,Yes,7,51,5 Grim Center,2069,NSW,12,2534.33,6,422.3883333333333,"(2050,2150]",Other,Other
89,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,Yes,14,50,73042 Roth Crossing,2100,NSW,11,5779.65,9,642.1833333333333,"(2050,2150]",Other,Other
90,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,No,11,32,171 Fordem Junction,2233,NSW,10,2990.73,7,427.2471428571429,"(2150,2250]",Other,Quality Control Specialist
91,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,62,2640 Manley Point,2166,NSW,9,5242.410000000001,8,655.3012500000001,"(2150,2250]",Other,Other
92,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,No,12,36,3 Hintze Pass,3133,VIC,10,2967.4399999999996,3,989.1466666666665,"(3050,3150]",Other,Recruiting Manager
93,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,Yes,10,40,2 Mcbride Road,3070,VIC,10,2976.41,3,992.1366666666667,"(3050,3150]",Other,Project Manager
94,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,No,21,42,67234 Transport Hill,2777,NSW,7,4902.21,7,700.3157142857143,"(2750,2850]",Other,Civil Engineer
95,Female,67,1960-12-25,Software Engineer,Manufacturing,Affluent Customer,Yes,8,56,72 Dorton Crossing,3133,VIC,10,3050.8099999999995,4,762.7024999999999,"(3050,3150]",Other,Other
96,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,48,6 Heffernan Center,2125,NSW,11,1135.25,3,378.4166666666667,"(2050,2150]",Other,Other
97,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,37,6088 Roxbury Hill,2766,NSW,8,4911.21,8,613.90125,"(2750,2850]",Other,Other
98,Female,19,1956-03-17,Safety Technician,Health,Mass Customer,No,7,61,105 Shelley Alley,2209,NSW,10,1930.5600000000002,5,386.112,"(2150,2250]",Other,Other
99,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,No,3,18,079 Merry Park,2160,NSW,9,4557.65,9,506.4055555555555,"(2150,2250]",Other,Other
100,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,Yes,4,49,8722 Summit Alley,2065,NSW,12,877.4,2,438.7,"(2050,2150]",Other,General Manager
101,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,No,11,41,9554 Artisan Pass,2150,NSW,10,2589.89,4,647.4725,"(2050,2150]",Other,Other
102,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,60,55850 Butterfield Road,2168,NSW,9,2587.0099999999998,7,369.5728571428571,"(2150,2250]",Other,Quality Control Specialist
103,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,Yes,4,20,68 Little Fleur Crossing,2046,NSW,12,913.3199999999999,5,182.664,"[1950,2050]",Other,Product Engineer
104,Female,40,1978-06-06,Automation Specialist,Health,Mass Customer,Yes,9,38,85688 New Castle Crossing,4171,QLD,10,3550.2600000000007,8,443.7825000000001,"(4150,4250]",Other,Other
105,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,No,1,15,8611 Loomis Lane,2155,NSW,10,3475.04,4,868.76,"(2150,2250]",Other,Recruiting Manager
106,Male,54,1966-07-03,Software Test Engineer,Health,High Net Worth,Yes,18,50,7909 Pierstorff Crossing,2517,NSW,9,2513.69,3,837.8966666666666,"(2450,2550]",Other,Other
107,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,26,01 Muir Parkway,2096,NSW,12,2343.9700000000003,4,585.9925000000001,"(2050,2150]",Other,Other
109,Male,16,1978-12-11,Marketing Assistant,n/a,Affluent Customer,Yes,4,38,41 Service Lane,2217,NSW,11,4430.66,10,443.066,"(2150,2250]",Other,Other
111,Female,65,1993-08-29,Analyst Programmer,n/a,Mass Customer,No,2,23,7342 Fieldstone Junction,2093,NSW,12,3014.5299999999997,4,753.6324999999999,"(2050,2150]",Other,Analyst Programmer
112,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,No,12,41,0 David Terrace,3204,VIC,11,5742.19,6,957.0316666666666,"(3150,3250]",Other,Marketing Manager
113,Male,67,1956-05-06,Staff Scientist,n/a,Mass Customer,No,20,61,15239 Northwestern Point,4300,QLD,4,2200.48,5,440.096,"(4250,4350]",Other,Other
114,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,No,8,31,60 Oneill Street,2170,NSW,9,2195.26,4,548.815,"(2150,2250]",Other,Other
115,Male,77,1981-12-21,Account Executive,Health,Mass Customer,No,18,35,8194 Sachtjen Drive,3844,VIC,1,3135.87,8,391.98375,"(3750,3850]",Other,Other
116,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,18,0349 Farmco Terrace,2168,NSW,8,2447.5400000000004,8,305.94250000000005,"(2150,2250]",Other,Other
117,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,No,15,35,185 Pennsylvania Way,4226,QLD,6,6917.34,10,691.734,"(4150,4250]",Other,Marketing Manager
118,Male,43,1959-11-12,Budget/Accounting Analyst,n/a,High Net Worth,No,19,57,432 Longview Circle,3192,VIC,10,3550.0999999999995,5,710.0199999999999,"(3150,3250]",Other,Other
119,Male,9,1981-12-04,Associate Professor,n/a,High Net Worth,Yes,9,35,5814 Bunker Hill Street,3070,VIC,7,4217.24,4,1054.31,"(3050,3150]",Other,Associate Professor
120,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,Yes,4,38,7 Carberry Crossing,2485,NSW,2,1306.7800000000002,3,435.5933333333334,"(2450,2550]",Other,Other
121,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,No,15,59,53 Talisman Trail,2097,NSW,9,2892.0899999999997,4,723.0224999999999,"(2050,2150]",Other,Graphic Designer
122,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,38,5 Prairie Rose Road,4817,QLD,2,2695.2200000000003,5,539.0440000000001,"(4750,4850]","(4750,4850]",Quality Control Specialist
123,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,No,15,28,84 Florence Parkway,2516,NSW,8,3245.75,4,811.4375,"(2450,2550]",Other,Analyst Programmer
124,Female,27,1995-05-03,Administrative Assistant,Health,High Net Worth,Yes,5,22,739 Elmside Way,3074,VIC,8,4054.25,7,579.1785714285714,"(3050,3150]",Other,Administrative Assistant
125,Female,94,1960-03-17,Computer Systems Analyst,Property,Mass Customer,No,16,57,684 Northport Circle,2213,NSW,10,3303.88,9,367.09777777777776,"(2150,2250]",Other,Other
126,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,Yes,3,24,8 Hagan Hill,4508,QLD,4,1096.46,3,365.4866666666667,"(4450,4550]",Other,Other
127,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,No,19,42,0 Pearson Crossing,4405,QLD,1,3993.71,10,399.371,"(4350,4450]","(4350,4450]",Other
128,Male,73,1977-07-17,Systems Administrator,Property,Mass Customer,Yes,12,39,10918 Merry Way,2452,NSW,5,2193.06,4,548.265,"(2450,2550]",Other,Other
129,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,Yes,19,31,97 Coolidge Trail,2142,NSW,9,2753.75,4,688.4375,"(2050,2150]",Other,Other
130,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,No,1,19,58 Helena Hill,2205,NSW,7,1779.58,2,889.79,"(2150,2250]",Other,Other
131,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,No,8,52,352 Forster Place,4132,QLD,3,5494.91,6,915.8183333333333,"(4050,4150]",Other,Other
132,Female,5,1963-07-07,Web Designer,Manufacturing,Mass Customer,Yes,9,53,12306 Lawn Street,2145,NSW,8,2780.7200000000003,6,463.4533333333334,"(2050,2150]",Other,Web Designer
133,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,Yes,16,39,19392 7th Trail,4744,QLD,1,803.8900000000001,5,160.77800000000002,"(4650,4750]",Other,Other
134,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,19,1605 Northfield Junction,2158,NSW,11,2946.42,6,491.07,"(2150,2250]",Other,Other
135,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,No,3,42,9674 Graceland Junction,3201,VIC,6,3254.07,6,542.345,"(3150,3250]",Other,Other
136,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,Yes,7,44,638 Thackeray Junction,4178,QLD,3,3543.2000000000003,8,442.90000000000003,"(4150,4250]",Other,Other
137,Male,27,1987-11-21,Office Assistant,Property,High Net Worth,No,10,29,869 Forster Circle,2112,NSW,10,1496.4499999999998,5,299.28999999999996,"(2050,2150]",Other,Other
138,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,Yes,13,32,0 Golden Leaf Crossing,2033,NSW,9,3377.12,7,482.44571428571425,"[1950,2050]",Other,Other
139,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,No,4,52,215 Lindbergh Trail,4401,QLD,1,5161.44,9,573.4933333333333,"(4350,4450]","(4350,4450]",Other
140,Male,9,1994-05-20,Programmer Analyst,Manufacturing,Mass Customer,No,2,23,829 Washington Crossing,3186,VIC,9,2699.9,6,449.98333333333335,"(3150,3250]",Other,Other
141,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,Yes,10,62,585 Loomis Court,2097,NSW,11,2138.3500000000004,3,712.7833333333334,"(2050,2150]",Other,Other
142,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,No,17,49,68063 Blue Bill Park Center,3058,VIC,9,3917.3399999999997,11,356.1218181818181,"(3050,3150]",Other,Other
143,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,Yes,11,59,15673 Farmco Point,4017,QLD,6,2474.77,4,618.6925,"(3950,4050]",Other,Other
145,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,No,4,19,7245 Cottonwood Center,2285,NSW,5,3140.2999999999997,7,448.6142857142857,"(2250,2350]",Other,Other
146,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,No,8,32,20382 Spohn Alley,2219,NSW,11,217.05999999999995,2,108.52999999999997,"(2150,2250]",Other,Quality Control Specialist
147,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,Yes,10,43,12375 Cambridge Pass,2065,NSW,11,5034.16,6,839.0266666666666,"(2050,2150]",Other,Analog Circuit Design manager
148,Female,69,1981-05-08,Programmer Analyst,n/a,Mass Customer,Yes,5,36,03 Granby Parkway,3216,VIC,8,3268.4,5,653.6800000000001,"(3150,3250]",Other,Other
149,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,Yes,1,22,939 Coleman Pass,4509,QLD,7,2129.3399999999997,5,425.86799999999994,"(4450,4550]",Other,Other
150,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,No,17,33,69914 Bowman Place,2330,NSW,7,2446.5099999999998,4,611.6274999999999,"(2250,2350]",Other,Other
151,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,Yes,13,52,34457 Springview Street,2759,NSW,9,5665.410000000001,7,809.3442857142858,"(2750,2850]",Other,Marketing Manager
152,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,No,16,36,992 Old Shore Trail,2069,NSW,12,1966.88,2,983.44,"(2050,2150]",Other,Other
153,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,Yes,12,39,453 Sheridan Street,2747,NSW,8,5522.509999999999,7,788.93,"(2650,2750]",Other,Other
154,Female,90,1958-02-13,Junior Executive,n/a,Mass Customer,No,11,59,8 Mccormick Crossing,2227,NSW,8,683.6300000000001,5,136.72600000000003,"(2150,2250]",Other,Other
155,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,No,10,31,63344 Holmberg Crossing,2025,NSW,10,1088.42,3,362.8066666666667,"[1950,2050]",Other,Other
156,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,Yes,11,37,9 Huxley Circle,3191,VIC,11,3095.3699999999994,5,619.0739999999998,"(3150,3250]",Other,Other
157,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,No,16,42,0 Hazelcrest Road,3025,VIC,8,381.41999999999996,3,127.13999999999999,"(2950,3050]","(2950,3050]",Other
158,Male,99,1984-09-03,Internal Auditor,n/a,Affluent Customer,No,5,32,2 Continental Plaza,2263,NSW,6,4627.35,6,771.225,"(2250,2350]",Other,Other
159,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,No,13,30,80 Duke Terrace,2233,NSW,10,2935.3700000000003,6,489.2283333333334,"(2150,2250]",Other,Other
160,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,No,18,52,860 Hintze Lane,2154,NSW,11,2614.1600000000003,2,1307.0800000000002,"(2150,2250]",Other,Other
162,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,No,15,37,5 Corry Court,2119,NSW,10,1329.61,3,443.2033333333333,"(2050,2150]",Other,Other
163,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,Yes,14,40,65105 Sommers Pass,3016,VIC,10,1101.28,2,550.64,"(2950,3050]","(2950,3050]",Other
164,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,Yes,1,17,2054 Sommers Pass,4113,QLD,4,786.1400000000001,3,262.0466666666667,"(4050,4150]",Other,Other
165,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,Yes,12,33,22371 Miller Trail,2032,NSW,10,6182.52,9,686.9466666666667,"[1950,2050]",Other,Other
166,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6,61,35807 Oneill Way,4300,QLD,4,4197.44,8,524.68,"(4250,4350]",Other,Other
169,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,Yes,5,59,93 Iowa Junction,2116,NSW,9,696.26,3,232.08666666666667,"(2050,2150]",Other,Other
170,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,No,21,41,48 Cascade Terrace,3057,VIC,8,1369.1599999999999,3,456.3866666666666,"(3050,3150]",Other,Other
